neo_id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,diameter_min_km,diameter_max_km,velocity_kms,miss_distance_km,approach_date,approach_date_full,orbiting_body,is_hazardous,is_sentry,created_at
54137796,54137796,(2021 GD13),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54137796,28.4,0.0055533491,0.0124176661,28.7204948044,56621407.47153871,2025-10-26,2025-Oct-26 12:55,Earth,false,false,2025-10-03 19:19:00.869599
54137809,54137809,(2021 GN16),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54137809,21.73,0.1198270801,0.2679414966,25.0736736637,69238139.09052104,2025-11-11,2025-Nov-11 18:45,Earth,true,false,2025-10-03 19:19:01.670502
54142541,54142541,(2021 HB3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54142541,24.8,0.0291443905,0.0651688382,9.9142928767,59813770.606287666,2025-11-16,2025-Nov-16 14:56,Earth,false,false,2025-10-03 19:19:02.427056
54142836,54142836,(2021 HE3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54142836,25.25,0.0236894499,0.0529712204,8.4276025883,38445112.8838426,2025-11-15,2025-Nov-15 08:57,Earth,false,false,2025-10-03 19:19:01.670502
54143218,54143218,(2021 JQ),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54143218,23.8,0.046190746,0.1032856481,10.0275543149,47119006.673862725,2025-10-10,2025-Oct-10 23:34,Earth,false,false,2025-10-03 19:12:56.840742
54144286,54144286,(2021 JG3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54144286,22.37,0.0892390579,0.1995445996,9.2277021021,23074442.932224177,2025-11-11,2025-Nov-11 05:35,Earth,false,false,2025-10-03 19:19:01.670502
54144917,54144917,(2021 JC4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54144917,26.18,0.0154367182,0.0345175513,9.8744909333,21744452.07478095,2025-11-08,2025-Nov-08 05:34,Earth,false,false,2025-10-03 19:19:01.670502
54146681,54146681,(2021 KW),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54146681,27.78,0.0073884779,0.0165211388,22.515304032,35591913.43234325,2025-11-08,2025-Nov-08 17:48,Earth,false,false,2025-10-03 19:19:01.670502
54147685,54147685,(2021 KF2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54147685,22.93,0.0689532874,0.154184238,15.5093542913,65308038.293486804,2025-10-10,2025-Oct-10 15:05,Earth,false,false,2025-10-03 19:12:56.840742
54154694,54154694,(2021 LA1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54154694,25.22,0.024019003,0.0537081235,6.0965747505,30652379.959063713,2025-10-04,2025-Oct-04 09:20,Earth,false,false,2025-10-03 13:34:50.502954
54165800,54165800,(2021 NM),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54165800,26.23,0.0150853356,0.0337318359,23.8269863934,42583700.34848808,2025-10-07,2025-Oct-07 08:09,Earth,false,false,2025-10-03 13:34:50.502954
54185132,54185132,(2021 PZ9),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54185132,26.94,0.0108781483,0.0243242791,5.3645555402,30520101.961980406,2025-10-12,2025-Oct-12 19:33,Earth,false,false,2025-10-03 19:15:37.148944
54190785,54190785,(2021 QE2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54190785,24.49,0.0336166921,0.0751692087,9.7442348048,16077901.661132663,2025-10-09,2025-Oct-09 05:45,Earth,false,false,2025-10-03 13:34:50.502954
